"id","conversation_id","full_text","url","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","hashtags/25","hashtags/26","hashtags/27","hashtags/28","hashtags/29","hashtags/30","hashtags/31","hashtags/32","hashtags/33","hashtags/34","hashtags/35","view_count","favorite_count","retweet_count","reply_count","created_at"
"1648348823054594050","1648348823054594050","‼️PSA‼️RETWEET‼️ U may not realize it, but certain scents&amp;pure essential oils like tea tree, citrus&amp;eucalyptus oil can be harmful toxic oils 2cats. Many compounds in these pure essential oils contain toxins that can be fatal if ingested or inhaled (says search engine) #Cats https://t.co/OvvIoRO8lX","https://twitter.com/KimoKekonaKekoa/status/1648348823054594050","Cats",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1447","183","80","12","2023-04-18T15:32:38.000Z"
"1648338715931189249","1648338715931189249","What? 
A plate of squirrel treats?
Right here on my at my feets?
Makes me drool.
But I ain’t no fool.
Time to get my own yummy.
Get it in my TUMMY!

😸❤️🐾— Remy 
#cats #CatsOfTwitter #tuesdayvibe #tuesdaymotivations #TuesdayMotivaton https://t.co/OHty7fOtXx","https://twitter.com/HazelandRemy/status/1648338715931189249","cats","CatsOfTwitter","tuesdayvibe","tuesdaymotivations","TuesdayMotivaton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2841","116","14","18","2023-04-18T14:52:29.000Z"
"1648332188843384833","1648332188843384833","WHOA!
Do you have a cat!?
Did you know their tail position usually means something?
Check it out!
#science #cats https://t.co/tTyUC7rNkv","https://twitter.com/bunsenbernerbmd/status/1648332188843384833","science","cats",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8498","305","32","12","2023-04-18T14:26:33.000Z"
"1648316617212801027","1648316617212801027","Hello efurrpawdy! It's Emma here for #tunatuesday.  I have a mouse in my hair and I just don't care. 😹
Where da heck is da toona? 😺

#CatsOfTwitter #tunatuesday 
#cats #tuesdayvibe https://t.co/GJSGup5CPi","https://twitter.com/lizardcraft1960/status/1648316617212801027","tunatuesday","CatsOfTwitter","tunatuesday","cats","tuesdayvibe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9909","727","75","29","2023-04-18T13:24:40.000Z"
"1648298832524988416","1648298832524988416","Kitten family
#cats https://t.co/i6cXQGfM9z","https://twitter.com/KlatuBaradaNiko/status/1648298832524988416","cats",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3614","384","90","4","2023-04-18T12:14:00.000Z"
"1648258818890141696","1648258818890141696","💖Lenna just wants to be a lap #kitty!💖Please consider a RT to help her find a lap she can call her own🙏🌷#adoptdonshop #Virginia #noVA #dc #washingtondc #maryland #pets #love #luv #Tuesday #cat #cats #cute #animals #family #home #CatsOfTwitter #rescue #va #md #dmv #pa https://t.co/qFJRnpPneC","https://twitter.com/RappCatsAdopt/status/1648258818890141696","kitty","adoptdonshop","Virginia","noVA","dc","washingtondc","maryland","pets","love","luv","Tuesday","cat","cats","cute","animals","family","home","CatsOfTwitter","rescue","va","md","dmv","pa",,,,,,,,,,,,,,"3397","321","178","15","2023-04-18T09:35:00.000Z"
"1648195015800246272","1648195015800246272","Friends! Those of you of a Nervous Disposition should watch today’s video with care. 🐍 We had a SNAKE in our house!! Luckily, Baby Dog was a HERO and saved Ralphy and me. High Drama! #Malcy #BabyDog #Ralphy #catsoftwitter #dogsoftwitter #cats #dogs https://t.co/Bgk4uHBQte","https://twitter.com/Malcolm_theCat/status/1648195015800246272","Malcy","BabyDog","Ralphy","catsoftwitter","dogsoftwitter","cats","dogs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27771","2635","216","298","2023-04-18T05:21:28.000Z"
"1648174726852878336","1648174726852878336","#PhotoChallenge2023April Day 17 Portrait. This is one of Mama’s favorite portraits of us♥️😘Ari &amp; Cali💋♥️ #Cats #CatsofTwittter https://t.co/I2tq5R5hrV","https://twitter.com/ElizGriff2016/status/1648174726852878336","PhotoChallenge2023April","Cats","CatsofTwittter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5203","709","73","92","2023-04-18T04:00:51.000Z"
"1648098433226399745","1648098433226399745","Meet our kind volunteer Kia feeding the Aegean cats in the hilltop cat colony on this tiny Greek island.
Listen to the cats’ little voices…
You can help the #cats on Iraklia by donating now to fund vital medicines, neutering &amp; food. Purr!
#CatsOfTwitter 
https://t.co/eBupPyhtpP https://t.co/ZUug0MtiNq","https://twitter.com/CatsofIraklia/status/1648098433226399745","cats","CatsOfTwitter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5055","380","127","9","2023-04-17T22:57:41.000Z"
"1648038222969311232","1648038222969311232","Kitty #AiArt #cats https://t.co/7BB9Qez2dx","https://twitter.com/KlatuBaradaNiko/status/1648038222969311232","AiArt","cats",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7837","612","183","22","2023-04-17T18:58:26.000Z"
